id,C_NY,anio,presi_Nomb,muj_gab,GPSCN,Demo,MUJCONG,ideología,presi_gen,PSI,Time,Party ,Cuotas ,Personalization ,PP,API,PI
1,arg_1999,1999,F. De la Rúa,0.090909091,0.005050505,0.837,0.26459144,0.5,0,0,0,UCR,0,0.818,0,0.045,0.33
2,arg_2003,2003,N. Kirchner,0.09,0.052380952,0.819,0.307392996,0.75,0,0,0,PJ,0,0.818,0,0.226,0.658
3,arg_2007,2007,C. Fernandez de Kirchner,0.272727273,0.058333333,0.783,0.4,0.75,1,0,0,FPV,0,2.636,1,0.242,0.803
4,arg_2011,2011,C. Fernandez de Kirchner,0.2,0.033412698,0.816,0.373540856,0.75,1,0,1,FPV,0,2.727,1,0.381,0.871
5,arg_2015,2015,M. Macri,0.142857143,0.020800628,0.747,0.357976654,0.25,0,0,1,PRO,0,2.273,1,0.074,0.148
6,bra_2003,2003,L. I. Lula Da Silva,0.130434783,0.011352657,0.86,0.085769981,0.75,0,0,0,PT,1,2.22,1,,
7,bra_2007,2007,L. I. Lula Da Silva,0.04,0.001185185,0.866,0.089668616,0.75,0,0,0,PT,1,2.44,1,,
8,bra_2011,2011,D. Rousseff,0.266666667,0.057458761,0.886,0.085769981,0.75,1,0,1,PT,1,2.111,1,,
9,bra_2015,2015,D. Rousseff,0.125,0.011689815,0.867,0.099415205,0.75,1,0,1,PT,1,1.89,0,,
10,bra_2019,2019,J. Bolsonaro,0.117647059,0.011282291,0.674,0.150097466,0,0,0,1,PSL,0,2.778,1,,
11,chi_2000,2000,R. Lagos,0.3125,0.104476687,0.875,0.108333333,0.75,0,1,0,PPD,1,0.5,0,0.033,0.311
12,chi_2006,2006,M. Bachelet,0.5,0.261521465,0.898,0.15,0.75,1,1,0,PS ,1,0.33,0,0.29,0.479
13,chi_2010,2010,S. Pi<f1>era Echenique,0.272727273,0.07289453,0.894,0.141666667,0.25,0,1,1,RN,0,0.667,0,0.038,0.088
14,chi_2014,2014,M. Bachelet,0.333333333,0.111682299,0.902,0.158333333,0.75,1,1,1,PS ,1,0.5,0,0.03,0.507
15,chi_2018,2018,S. Pi<f1>era Echenique,0.291666667,0.088075062,0.852,0.225806452,0.25,0,1,1,RN,0,0.5,0,0.078,0.152
16,col_1999,1999,A. Pastrana,0.157894737,0.023026316,0.553,0.118012422,0.25,0,0,0,PC,0,1,0,,
17,col_2003,2003,A. Uribe Velez,0.461538462,0.240384616,0.571,0.120481928,0.25,0,0,0,-,0,4,1,,
18,col_2007,2007,A. Uribe Velez,0.307692308,0.094017094,0.562,0.084337349,0.25,0,0,0,PU,0,2.429,1,,
19,col_2011,2011,J. M. Santos,0.307692308,0.110042735,0.593,0.121212121,0.25,0,0,1,PU,0,2.286,1,,
20,col_2015,2015,J. M. Santos,0.3125,0.10318024,0.711,0.198795181,0.25,0,0,1,PU,0,2.143,1,,
21,col_2019,2019,I. Duque Marquez,0.5,0.243371212,0.667,0.187134503,0.25,0,0,1,CD,0,2.857,1,,
22,cos_2002,2002,A. Pacheco de la Espirella,0.263157895,0.073464912,0.887,0.350877193,0.25,0,1,0,PUSC,1,2.67,1,,
23,cos_2006,2006,O. Arias Sanchez,0.294117647,0.071895425,0.903,0.385964912,0.5,0,1,0,PLN,1,2.333,1,,
24,cos_2010,2010,L. Chinchilla Miranda,0.42,0.152462121,0.913,0.385964912,0.5,1,1,1,PLN,1,1.667,0,,
25,cos_2014,2014,L. G. Sol<ed>s Rivera,0.33,0.138717533,0.904,0.333333333,0.75,0,1,1,PAC,1,1,0,,
26,cos_2018,2018,C. Alvarado Quesada,0.52173913,0.279710145,0.879,0.456140351,0.75,0,1,1,PAC,1,1,0,,
27,sal_2004,2004,E. A. Saca Gonzalez,0.153846154,0.022588523,0.532,0.107142857,0,0,1,0,ARENA,0,2,1,,
28,sal_2009,2009,M. Funes,0.153846154,0.021367521,0.582,0.190476191,0.75,0,1,0,FMLN,0,1,0,,
29,sal_2014,2014,S. Sanchez Cer<e9>n,0.230769231,0.041483517,0.68,0.273809524,0.75,0,1,1,FMLN,0,1,0,,
30,sal_2019,2019,N. Bukele,0.5,0.241964286,0.631,0.30952381,0,0,1,1,GANA,0,2,1,,
