C_NY;pais;gab_inau;anio;presi_Nomb;presi_Elec;muj_gab;Muj_Gab;gab_muj;gab_tamanio;presi_gen;fecha_inic;fecha fin;tiempo
arg_2000;arg;1;2000;F. De la Rúa;0;0,090909091;9,0909091;1;11;0;10/12/1999;21/12/2001;0
arg_2001;arg;0;2001;F. De la Rúa;0;0,181818182;18,1818182;2;11;0;10/12/1999;21/12/2001;0
arg_2002;arg;1;2002;E. Duhalde;2;0,230769231;23,0769231;3;13;0;22/1/2002;25/5/2003;0
arg_2003;arg;1;2003;N. Kirchner;0;0,3;30;3;10;0;25/5/2003;10/12/2007;0
arg_2004;arg;0;2004;N. Kirchner;0;0,1;10;1;10;0;25/5/2003;10/12/2007;0
arg_2005;arg;0;2005;N. Kirchner;0;0,1;10;1;10;0;25/5/2003;10/12/2007;0
arg_2006;arg;0;2006;N. Kirchner;0;0,2;20;2;10;0;25/5/2003;10/12/2007;0
arg_2007;arg;0;2007;N. Kirchner;0;0,3;30;3;10;0;25/5/2003;10/12/2007;0
arg_2008;arg;1;2008;C. Fernandez de Kirchner;0;0,272727273;27,2727273;3;11;1;10/12/2007;9/12/2011;0
arg_2009;arg;0;2009;C. Fernandez de Kirchner;0;0,333333333;33,3333333;4;12;1;10/12/2007;10/12/2011;0
arg_2010;arg;0;2010;C. Fernandez de Kirchner;0;0,230769231;23,0769231;3;13;1;10/12/2007;11/12/2011;1
arg_2011;arg;0;2011;C. Fernandez de Kirchner;0;0,2;20;3;15;1;10/12/2007;12/12/2011;1
arg_2012;arg;1;2012;C. Fernandez de Kirchner;0;0,2;20;3;15;1;10/12/2011;9/12/2015;1
arg_2013;arg;0;2013;C. Fernandez de Kirchner;0;0,2;20;3;15;1;11/12/2011;9/12/2015;1
arg_2014;arg;0;2014;C. Fernandez de Kirchner;0;0,2;20;3;15;1;12/12/2011;9/12/2015;1
arg_2015;arg;0;2015;C. Fernandez de Kirchner;0;0,25;25;4;16;1;13/12/2011;9/12/2015;1
arg_2016;arg;1;2016;M. Macri;0;0,142857143;14,2857143;3;21;0;10/12/2015;10/12/2019;1
arg_2017;arg;0;2017;M. Macri;0;0,142857143;14,2857143;3;21;0;10/12/2015;10/12/2019;1
arg_2018;arg;0;2018;M. Macri;0;0,095238095;9,5238095;2;21;0;10/12/2015;10/12/2019;1
arg_2019;arg;0;2019;M. Macri;0;0,2;20;2;10;0;10/12/2015;10/12/2019;1
bol_2001;bol;0;2001;H. Banzer;0;0;0;0;15;0;6/8/1997;7/8/2001;0
bol_2002;bol;1;2002;J. Quiroga Ramirez;2;0,0625;6,25;1;16;0;7/8/2001;6/8/2002;0
bol_2003;bol;1;2003;G. Sanchez de Lozada;0;0,111111111;11,1111111;2;18;0;6/8/2002;17/10/2003;0
bol_2004;bol;1;2004;C. Mesa;2;0;0;0;15;0;17/10/2003;9/6/2005;0
bol_2005;bol;0;2005;C. Mesa;2;0,125;12,5;2;16;0;17/10/2003;9/6/2005;0
bol_2006;bol;1;2006;E. Morales;0;0,176470588;17,6470588;3;17;0;26/1/2006;22/1/2010;0
bol_2007;bol;0;2007;E. Morales;0;0,25;25;4;16;0;26/1/2006;22/1/2010;0
bol_2008;bol;0;2008;E. Morales;0;0,3125;31,25;5;16;0;26/1/2006;22/1/2010;0
bol_2009;bol;0;2009;E. Morales;0;0,117647059;11,7647059;2;17;0;26/1/2006;22/1/2010;0
bol_2010;bol;1;2010;E. Morales;0;0,454545455;45,4545455;10;22;0;22/1/2010;22/1/2014;1
bol_2011;bol;0;2011;E. Morales;0;0,5;50;10;20;0;22/1/2010;22/1/2014;1
bol_2012;bol;0;2012;E. Morales;0;0,476190476;47,6190476;10;21;0;22/1/2010;22/1/2014;1
bol_2013;bol;0;2013;E. Morales;0;0,333333333;33,3333333;7;21;0;22/1/2010;22/1/2014;1
bol_2014;bol;1;2014;E. Morales;0;0,333333333;33,3333333;7;21;0;22/1/2014;22/1/2020;1
bol_2015;bol;0;2015;E. Morales;0;0,285714286;28,5714286;6;21;0;22/1/2014;22/1/2020;1
bol_2016;bol;0;2016;E. Morales;0;0,285714286;28,5714286;6;21;0;22/1/2014;22/1/2020;1
bol_2017;bol;0;2017;E. Morales;0;0,238095238;23,8095238;5;21;0;22/1/2014;22/1/2020;1
bol_2018;bol;0;2018;E. Morales;0;0,2;20;4;20;0;22/1/2014;22/1/2020;1
bol_2019;bol;0;2019;E. Morales;0;0,2;20;4;20;0;22/1/2014;22/1/2020;1
bra_2001;bra;0;2001;F. H. Cardozo;0;0;0;0;20;0;1/1/1995;31/12/2002;0
bra_2002;bra;0;2002;F. H. Cardozo;0;0;0;0;20;0;1/1/1995;31/12/2002;0
bra_2003;bra;1;2003;L. I. Lula Da Silva;0;0,130434783;13,0434783;3;23;0;1/1/2003;1/1/2007;0
bra_2004;bra;0;2004;L. I. Lula Da Silva;0;0,130434783;13,0434783;3;23;0;1/1/2003;1/1/2007;0
bra_2005;bra;0;2005;L. I. Lula Da Silva;0;0,086956522;8,6956522;2;23;0;1/1/2003;1/1/2007;0
bra_2006;bra;0;2006;L. I. Lula Da Silva;0;0,043478261;4,3478261;1;23;0;1/1/2003;1/1/2007;0
bra_2007;bra;1;2007;L. I. Lula Da Silva;0;0,04;4;1;25;0;1/1/2007;31/12/2010;0
bra_2008;bra;0;2008;L. I. Lula Da Silva;0;0,08;8;2;25;0;1/1/2007;31/12/2010;0
bra_2009;bra;0;2009;L. I. Lula Da Silva;0;0;0;0;25;0;1/1/2007;31/12/2010;0
bra_2010;bra;0;2010;L. I. Lula Da Silva;0;0;0;0;26;0;1/1/2007;31/12/2010;1
bra_2011;bra;1;2011;D. Rousseff;0;0,266666667;26,6666667;9;33;1;1/1/2011;31/12/2014;1
bra_2012;bra;0;2012;D. Rousseff;0;0,166666667;16,6666667;4;24;1;1/1/2011;31/12/2014;1
bra_2013;bra;0;2013;D. Rousseff;0;0,166666667;16,6666667;4;24;1;1/1/2011;31/12/2014;1
bra_2014;bra;0;2014;D. Rousseff;0;0,166666667;16,6666667;4;24;1;1/1/2011;31/12/2014;1
bra_2015;bra;1;2015;D. Rousseff;0;0,125;12,5;3;24;1;1/1/2015;31/8/2016;1
bra_2016;bra;0;2016;D. Rousseff;0;0,125;12,5;3;24;1;1/1/2015;31/8/2016;1
bra_2017;bra;1;2017;M. Temer;2;0;0;0;23;0;31/8/2016;31/12/2018;1
bra_2018;bra;0;2018;M. Temer;2;0,045454545;4,5454545;1;22;0;31/8/2016;31/12/2018;1
bra_2019;bra;1;2019;J. Bolsonaro;0;0,117647059;11,7647059;2;17;0;1/1/2019;31/12/2022;1
chi_2000;chi;1;2000;R. Lagos;0;0,3125;31,25;5;16;0;11/3/2000;11/3/2006;0
chi_2001;chi;0;2001;R. Lagos;0;0,3125;31,25;5;16;0;11/3/2000;11/3/2006;0
chi_2002;chi;0;2002;R. Lagos;0;0,3125;31,25;5;16;0;11/3/2000;11/3/2006;0
chi_2003;chi;0;2003;R. Lagos;0;0,294117647;29,4117647;5;17;0;11/3/2000;11/3/2006;0
chi_2004;chi;0;2004;R. Lagos;0;0,176470588;17,6470588;3;17;0;11/3/2000;11/3/2006;0
chi_2005;chi;0;2005;R. Lagos;0;0,176470588;17,6470588;3;17;0;11/3/2000;11/3/2006;0
chi_2006;chi;1;2006;M. Bachelet;0;0,5;50;10;19;1;11/3/2006;11/3/2010;0
chi_2007;chi;0;2007;M. Bachelet;0;0,526315789;52,6315789;10;19;1;11/3/2006;11/3/2010;0
chi_2008;chi;0;2008;M. Bachelet;0;0,428571429;42,8571429;9;21;1;11/3/2006;11/3/2010;0
chi_2009;chi;0;2009;M. Bachelet;0;0,428571429;42,8571429;9;21;1;11/3/2006;11/3/2010;0
chi_2010;chi;1;2010;S. Piñera Echenique;0;0,272727273;27,2727273;6;22;0;11/3/2010;11/3/2014;1
chi_2011;chi;0;2011;S. Piñera Echenique;0;0,272727273;27,2727273;6;22;0;11/3/2010;11/3/2014;1
